"","Year","Month","Day","TSU","EQ","Name","Location","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Agent","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION"
"452",1933,5,10,"","","Hakone","Honshu-Japan","Japan",35.22,139.02,1438,"Complex volcano","Radiocarbon","D7",NA,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"453",1933,12,24,"","","Kuchinoerabu-jima","Ryukyu Is","Japan",30.43,130.22,649,"Stratovolcano","Historical","D1",4,"T",8,1,NA,NA,26,1,NA,NA,NA,NA,8,1,NA,NA,26,1,NA,NA,NA,NA
"454",1933,12,25,"TSU","","Bulusan","Luzon-Philippines","Philippines",12.77,124.05,1565,"Stratovolcano","Historical","D1",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,3,NA,NA
"455",1934,NA,NA,"","","Hood","US-Oregon","United States",45.374,-121.694,3426,"Stratovolcano","Historical","D3",NA,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"456",1936,2,NA,"","","Asama","Honshu-Japan","Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",3,"P,T",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"457",1937,2,9,"","","Llaima","Chile-C","Chile",-38.692,-71.729,3125,"Stratovolcano","Historical","D1",2,"F",3,1,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA
"458",1937,5,29,"TSU","EQ","Rabaul","New Britain-SW Pac","Papua New Guinea",-4.271,152.203,688,"Pyroclastic shield","Historical","D1",4,"P,T,W,I",507,3,NA,NA,NA,NA,NA,1,NA,1,507,3,NA,NA,NA,NA,NA,1,NA,1
"459",1938,1,28,"TSU","","Nyamuragira","Africa-C","Congo, DRC",-1.408,29.2,3058,"Shield volcano","Historical","D1",1,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"460",1938,5,9,"","","Bandai","Honshu-Japan","Japan",37.6,140.08,1819,"Stratovolcano","Historical","D3",NA,"m",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"461",1938,6,5,"","","Mayon","Luzon-Philippines","Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",2,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"462",1938,7,16,"","","Asama","Honshu-Japan","Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",1,"T",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"463",1939,7,24,"TSU","","Kick-'em-Jenny","W Indies","Netherlands",12.3,-61.63,-177,"Submarine volcano","Historical","D1",1,"T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464",1939,8,17,"","","Tori-shima","Izu Is-Japan","Japan",30.48,140.32,403,"Stratovolcano","Historical","D1",2,"",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"465",1939,10,13,"","","Dieng Volc Complex","Java","Indonesia",-7.2,109.92,2565,"Complex volcano","Historical","D1",1,"T",10,1,NA,NA,NA,NA,NA,1,NA,NA,10,1,NA,NA,NA,NA,NA,1,NA,NA
"466",1940,6,20,"","","Karangetang [Api Siau]","Sangihe Is-Indonesia","Indonesia",2.78,125.48,1784,"Stratovolcano","Historical","D1",2,"",1,1,NA,NA,2,1,NA,NA,NA,NA,1,1,NA,NA,2,1,NA,NA,NA,NA
"467",1940,7,12,"","","Miyake-jima","Izu Is-Japan","Japan",34.08,139.53,815,"Stratovolcano","Historical","D1",2,"L",11,1,NA,NA,20,1,NA,NA,NA,NA,11,1,NA,NA,20,1,NA,NA,NA,NA
"468",1940,7,24,"","","Lengai, Ol Doinyo","Africa-E","Tanzania",-2.751,35.902,2890,"Stratovolcano","Historical","D1",2,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"469",1941,7,13,"","","Asama","Honshu-Japan","Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",2,"T",1,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA
"470",1941,9,21,"","","Semeru","Java","Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"471",1943,2,20,"","","Michoacan-Guanajuato","Mexico","Mexico",19.48,-102.25,3860,"Cinder cone","Historical","D2",4,"E,I",3,1,NA,NA,NA,NA,NA,NA,NA,NA,103,1,NA,NA,NA,NA,NA,NA,NA,NA
"472",1943,4,13,"","","Azul, Cerro","Galapagos","Ecuador",-0.9,-91.42,1690,"Shield volcano","Historical","D1",3,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"473",1944,3,27,"","","Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",2,"T,L,I",27,1,NA,NA,NA,NA,NA,NA,NA,NA,27,1,NA,NA,NA,NA,NA,NA,NA,NA
"474",1944,6,10,"","","Cleveland","Aleutian Is","United States",52.82,-169.95,1730,"Stratovolcano","Historical","D1",3,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"475",1944,6,23,"","","Usu","Hokkaido-Japan","Japan",42.53,140.83,731,"Stratovolcano","Historical","D1",2,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
