"STATION","NAME","DATE","PRCP","TMAX","TMIN","WSF5"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-26","0.00","91","60","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-27","0.00","86","56","30.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-28","0.00","77","57","28.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-29","0.00","81","54","28.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-30","0.00","81","56","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-31","0.00","89","53","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-01","0.00","95","56","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-02","0.00","99","60","10.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-03","0.00","98","59","15.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-04","0.00","94","59","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-05","0.00","93","56","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-06","0.00","94","60","21.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-07","0.00","82","60","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-08","0.03","75","57","28.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-09","0.00","76","51","13.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-10","0.00","85","52","15.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-11","0.00","90","52","14.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-12","0.00","91","56","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-09-13","0.00","83","55","17.0"
